NO,KODE BARANG,REG,NAMA BARANG / JENIS BARANG,UKURAN CC,SATUAN,TAHUN PEMBELIAN,BAHAN,MERK, TYPE,Tanggal & No BAST,, HARGA (Rp.) ,SUMBER DANA,Kondisi Barang,,,Masuk Dalam KIB,,PENGEMBANG,KEBERADAAN BARANG,
25,05.17.01.09.031,, PENJASORKES KELAS XI ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 21,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
26,05.17.01.09.032,, PRAKARYA KELAS XI ,4,Buah,2019,Kertas,,Buku Pelajaran,,," 113,600 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
27,05.17.01.09.033,, SEJARAH INDONESIA KELAS XI ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 54,800 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
28,05.17.01.09.034,, AGAMA ISLAM KELAS XI ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 29,200 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
29,05.17.01.09.035,, AGAMA KRISTEN  KELAS XI ,1,Buah,2019,Kertas,,Buku Pelajaran,,," 13,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
30,05.17.01.09.036,, AGAMA KHATOLIK KELAS XI ,1,Buah,2019,Kertas,,Buku Pelajaran,,," 23,600 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
31,05.17.01.09.037,, AGAMA HINDU KELAS XI ,1,Buah,2019,Kertas,,Buku Pelajaran,,," 14,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
32,05.17.01.09.038,, AGAMA BUDHA KELAS XI ,1,Buah,2019,Kertas,,Buku Pelajaran,,," 29,500 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
33,05.17.01.09.039,, PKN KELAS XII ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 26,800 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
34,05.17.01.09.040,, BAHASA INDONESIA KELAS XII ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 34,600 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
35,05.17.01.09.041,, MATEMATIKA KELAS XII ,3,Buah,2019,Kertas,,Buku Pelajaran,,," 47,400 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
36,05.17.01.09.042,, BAHASA INGGRIS KELAS XII ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 23,800 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
37,05.17.01.09.043,, SENI BUDAYA KELAS XII ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 56,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
38,05.17.01.09.044,, PENJASORKES KELAS XII ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 26,800 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
39,05.17.01.09.045,, PRAKARYA KELAS XII ,4,Buah,2019,Kertas,,Buku Pelajaran,,," 86,800 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
40,05.17.01.09.046,, SEJARAH INDONESIA KELAS XII ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 33,600 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
41,05.17.01.09.047,, AGAMA ISLAM KELAS XII ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 48,200 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
42,05.17.01.09.048,, AGAMA KRISTEN  KELAS XII ,1,Buah,2019,Kertas,,Buku Pelajaran,,," 18,500 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
43,05.17.01.09.049,, AGAMA KHATOLIK KELAS XII ,1,Buah,2019,Kertas,,Buku Pelajaran,,," 20,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
44,05.17.01.09.050,, AGAMA HINDU KELAS XII ,1,Buah,2019,Kertas,,Buku Pelajaran,,," 10,400 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
45,05.17.01.09.051,, AGAMA BUDHA KELAS XII ,1,Buah,2019,Kertas,,Buku Pelajaran,,," 23,100 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
46,05.17.01.09.052,, BIOLOGI KELAS XII ,182,Buah,2019,Kertas,,Buku Pelajaran,,," 18,746,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
47,05.17.01.09.053,, GEOGRAFI KELAS XII ,74,Buah,2019,Kertas,,Buku Pelajaran,,," 6,512,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
48,05.17.01.09.054,, EKONOMI KELAS XII ,74,Buah,2019,Kertas,,Buku Pelajaran,,," 7,104,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
49,05.17.01.09.055,, SOSIOLOGI KELAS XII ,74,Buah,2019,Kertas,,Buku Pelajaran,,," 6,660,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
50,135010106001,,Buku Matematika Kelas X,100,Buah,2019,Kertas,,Buku Pelajaran,,," 6,100,000 ",BOS TW 4,Baik,-,-,,,,Di Siswa,kemdikbud
51,135010106004,,Buku Kimia Kelas X,99,Buah,2019,Kertas,,Buku Pelajaran,,," 6,039,000 ",BOS TW 4,Baik,-,-,,,,Di Siswa,kemdikbud
1,135010106005,, SOSIOLOGI XI ,74,Buah,2020,Kertas,,Buku Ilmu Sosial,,," 6,808,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa, Janua Mudiyatmoko 
2,135010106006,, Sejarah Peminatan X ,82,Buah,2020,Kertas,,Buku Ilmu Sosial,,," 5,817,900 ",BOS TW 2,Baik,-,-,,,,Di Siswa, Samsul Faris 
3,135010106007,,Kimia Kelas X,103,Buah,2020,Kertas,,Buku Ilmu Alam,,," 6,324,230 ",BOS TW 2,Baik,-,-,,,,Di Siswa, Nurhalimah Umiyati 
4,135010106008,, Matematika Peminatan X ,102,Buah,2020,Kertas,,Buku Ilmu Alam,,," 6,263,820 ",BOS TW 2,Baik,-,-,,,,Di Siswa, Suparmi 
5,135010106009,, Deutsch X ,282,Buah,2020,Kertas,,Buku Bahasa,,," 20,177,100 ",BOS TW 2,Baik,-,-,,,,Di Siswa, Helmy Rosana 
,135010106010,, Bahasa Inggris Kelas XII , 36 ,Buah,2021,Kertas,,Buku Mata Pelajaran Siswa Kelas XII,,," 565,200 ",BOS TW 2,Baik,-,-,,,,,Kemendikbud
,135010106011,," Pendidikan Jasmani, Olahraga dan Kesehatan Kelas X ", 60 ,Buah,2021,Kertas,,Buku Mata Pelajaran Guru Kelas X,,," 1,110,000 ",BOS TW 2,Baik,-,-,,,,,Kemendikbud
,135010106012,, Pendidikan Agama Islam dan Budipekerti , 25 ,Buah,2021,Kertas,,Buku Guru Agama Kelas X,,," 430,000 ",BOS TW 2,Baik,-,-,,,,,Kemendikbud
